datetime,temp
2014-06-03,12.7
2014-06-04,13.1
2014-06-05,15.3
2014-06-06,14.9
2014-06-07,15.3
2014-06-08,17.9
2014-06-09,20.4
2014-06-10,18.5
2014-06-11,17.8
2014-06-12,17.1
2014-06-13,13.8
2014-06-14,12.5
2014-06-15,15.7
2014-06-16,13.7
2014-06-17,11.3
2014-06-18,15.4
2014-06-19,11.5
2014-06-20,11.2
2014-06-21,10.4
2014-06-22,9.9
2014-06-23,9.6
2014-06-24,13
2014-06-25,12.5
2014-06-26,12.3
2014-06-27,12.9
2014-06-28,13.3
2014-06-29,13.8
2014-06-30,14
2014-07-01,13.1
2014-07-02,15.3
2014-07-03,15.6
2014-07-04,18.3
2014-07-05,20
2014-07-06,19.2
2014-07-07,21.8
2014-07-08,22.2
2014-07-09,22
2014-07-10,21.2
2014-07-11,17.1
2014-07-12,17.9
2014-07-13,19.4
2014-07-14,18.2
2014-07-15,19
2014-07-16,20.1
2014-07-17,20.4
2014-07-18,20.6
2014-07-19,20.4
2014-07-20,20.6
2014-07-21,20.7
2014-07-22,21.9
2014-07-23,23.6
2014-07-24,25.2
2014-07-25,25.2
2014-07-26,25.1
2014-07-27,22.3
2014-07-28,23.2
2014-07-29,24.6
2014-07-30,22.5
2014-07-31,21.8
2014-08-01,21.2
2014-08-02,22
2014-08-03,22.4
2014-08-04,24.8
2014-08-05,22.9
2014-08-06,22.9
2014-08-07,19.9
2014-08-08,21.2
2014-08-09,21.8
2014-08-10,19.9
2014-08-11,19.4
2014-08-12,17.9
2014-08-13,17
2014-08-14,17.5
2014-08-15,17.2
2014-08-16,16.3
2014-08-17,16.2
2014-08-18,15.5
2014-08-19,14.8
2014-08-20,14.7
2014-08-21,14.8
2014-08-22,15
2014-08-23,13.5
2014-08-24,13.1
2014-08-25,13.6
2014-08-26,12.2
2014-08-27,15.3
2014-08-28,15.2
2014-08-29,14.1
2014-08-30,12.3
2014-08-31,12.5
2014-09-01,13.9
2014-09-02,14.3
2014-09-03,16.2
2014-09-04,17.2
2014-09-05,15.7
2014-09-06,15.9
2014-09-07,16.1
2014-09-08,15.9
2014-09-09,15
2014-09-10,14.8
2014-09-11,14.5
2014-09-12,14.6
2014-09-13,14.5
2014-09-14,13.4
2014-09-15,13.9
2014-09-16,13.5
2014-09-17,13.4
2014-09-18,14
2014-09-19,14.5
2014-09-20,14.6
2014-09-21,13.2
2014-09-22,9.4
2014-09-23,5.3
2014-09-24,6.1
2014-09-25,8.5
2014-09-26,10.7
2014-09-27,12.6
2014-09-28,13.2
2014-09-29,13.4
2014-09-30,8.9
2014-10-01,8.5
2014-10-02,11.7
2014-10-03,13.1
2014-10-04,12.4
2014-10-05,12.4
2014-10-06,8.9
2014-10-07,8.8
2014-10-08,11.3
2014-10-09,11.4
2014-10-10,12.5
2014-10-11,11.1
2014-10-12,9.8
2014-10-13,9.7
2014-10-14,9
2014-10-15,7.5
2014-10-16,5.5
2014-10-17,5.4
2014-10-18,7.7
2014-10-19,12.4
2014-10-20,10.3
2014-10-21,6.8
2014-10-22,4.4
2014-10-23,4.5
2014-10-24,7.6
2014-10-25,10
2014-10-26,11
2014-10-27,13.4
2014-10-28,14.1
2014-10-29,9.4
2014-10-30,4.5
2014-10-31,4.1
2014-11-01,6.2
2014-11-02,11.5
2014-11-03,11.4
2014-11-04,10.7
2014-11-05,4.8
2014-11-06,1.4
2014-11-07,2.6
2014-11-08,3.6
2014-11-09,7.4
2014-11-10,8.6
2014-11-11,8.8
2014-11-12,6.4
2014-11-13,7.6
2014-11-14,7
2014-11-15,6.9
2014-11-16,6.1
2014-11-17,5.1
2014-11-18,5.7
2014-11-19,4.2
2014-11-20,4.8
2014-11-21,2.8
2014-11-22,2.8
2014-11-23,5.3
2014-11-24,6.4
2014-11-25,4.5
2014-11-26,0.9
2014-11-27,2.9
2014-11-28,3
2014-11-29,2
2014-11-30,1.9
2014-12-01,1.7
2014-12-02,2.1
2014-12-03,1.2
2014-12-04,2.9
2014-12-05,2.4
2014-12-06,2.6
2014-12-07,2.8
2014-12-08,3.1
2014-12-09,2.2
2014-12-10,3.3
2014-12-11,4.1
2014-12-12,2.3
2014-12-13,1.5
2014-12-14,1.7
2014-12-15,3.9
2014-12-16,2
2014-12-17,-0.1
2014-12-18,0.8
2014-12-19,4.1
2014-12-20,1.5
2014-12-21,-1.2
2014-12-22,0.7
2014-12-23,-0.1
2014-12-24,-2.2
2014-12-25,-7
2014-12-26,-5.9
2014-12-27,-8.3
2014-12-28,-9.7
2014-12-29,-7.8
2014-12-30,-0.4
2014-12-31,2.1
2015-01-01,4.7
2015-01-02,5.4
2015-01-03,2.4
2015-01-04,-0.1
2015-01-05,-2.5
2015-01-06,-2.1
2015-01-07,0.6
2015-01-08,3.1
2015-01-09,0.7
2015-01-10,-1.1
2015-01-11,-1.2
2015-01-12,-2.1
2015-01-13,3.1
2015-01-14,1.9
2015-01-15,2
2015-01-16,4.5
2015-01-17,2.8
2015-01-18,2.9
2015-01-19,0.4
2015-01-20,0.4
2015-01-21,0.1
2015-01-22,-0.6
2015-01-23,-3.8
2015-01-24,-1.5
2015-01-25,0
2015-01-26,-0.2
2015-01-27,0.3
2015-01-28,1.2
2015-01-29,2.1
2015-01-30,1.2
2015-01-31,0.6
2015-02-01,-0.2
2015-02-02,-3.7
2015-02-03,-2.2
2015-02-04,-0.9
2015-02-05,-2.2
2015-02-06,-0.5
2015-02-07,0
2015-02-08,-1.9
2015-02-09,3.5
2015-02-10,3.1
2015-02-11,2.4
2015-02-12,2.1
2015-02-13,1
2015-02-14,1.2
2015-02-15,0
2015-02-16,-0.4
2015-02-17,0.9
2015-02-18,4.5
2015-02-19,5.9
2015-02-20,4
2015-02-21,2.2
2015-02-22,1.4
2015-02-23,1.6
2015-02-24,2.5
2015-02-25,4
2015-02-26,1.5
2015-02-27,2.1
2015-02-28,2.1
2015-03-01,2.3
2015-03-02,3.6
2015-03-03,1.8
2015-03-04,1.2
2015-03-05,2
2015-03-06,3.6
2015-03-07,4.6
2015-03-08,10.8
2015-03-09,7.2
2015-03-10,6.6
2015-03-11,4.8
2015-03-12,3
2015-03-13,1.3
2015-03-14,1.7
2015-03-15,3.4
2015-03-16,4.2
2015-03-17,5
2015-03-18,6.5
2015-03-19,6.8
2015-03-20,2.7
2015-03-21,-0.7
2015-03-22,-0.3
2015-03-23,3.6
2015-03-24,5.7
2015-03-25,-0.1
2015-03-26,2.5
2015-03-27,4.8
2015-03-28,3.4
2015-03-29,3.3
2015-03-30,3.6
2015-03-31,3.6
2015-04-01,3.1
2015-04-02,2.1
2015-04-03,3.8
2015-04-04,2.3
2015-04-05,2.4
2015-04-06,4.5
2015-04-07,8.4
2015-04-08,7.9
2015-04-09,8.6
2015-04-10,8.4
2015-04-11,8
2015-04-12,8.1
2015-04-13,6.9
2015-04-14,4.5
2015-04-15,6.7
2015-04-16,6.2
2015-04-17,3.3
2015-04-18,5.8
2015-04-19,9.2
2015-04-20,9.9
2015-04-21,8.9
2015-04-22,10
2015-04-23,10.8
2015-04-24,7.9
2015-04-25,8.8
2015-04-26,11
2015-04-27,9.7
2015-04-28,8.4
2015-04-29,7.4
2015-04-30,8.1
2015-05-01,8.5
2015-05-02,7.1
2015-05-03,8.9
2015-05-04,7.2
2015-05-05,8.2
2015-05-06,12.5
2015-05-07,12.7
2015-05-08,9.9
2015-05-09,10.1
2015-05-10,8.3
2015-05-11,10.9
2015-05-12,12
2015-05-13,8.4
2015-05-14,8.9
2015-05-15,6.9
2015-05-16,8
2015-05-17,6
2015-05-18,6.9
2015-05-19,7.8
2015-05-20,11
2015-05-21,11.9
2015-05-22,11.6
2015-05-23,12
2015-05-24,13.4
2015-05-25,12.4
2015-05-26,12
2015-05-27,12.3
2015-05-28,12.2
2015-05-29,11.8
2015-05-30,9.9
2015-05-31,10.7
2015-06-01,12.1
2015-06-02,11.1
2015-06-03,13.1
2015-06-04,14.4
2015-06-05,14.8
2015-06-06,14.6
2015-06-07,13.1
2015-06-08,11.6
2015-06-09,13.4
2015-06-10,15.5
2015-06-11,16.5
2015-06-12,19.5
2015-06-13,19.1
2015-06-14,14
2015-06-15,12.9
2015-06-16,13.6
2015-06-17,13.8
2015-06-18,11.3
2015-06-19,10.8
2015-06-20,12.3
2015-06-21,13.9
2015-06-22,14.5
2015-06-23,14.3
2015-06-24,14.2
2015-06-25,14.9
2015-06-26,14
2015-06-27,16.1
2015-06-28,18
2015-06-29,17.6
2015-06-30,16.8
2015-07-01,19.5
2015-07-02,23.6
2015-07-03,23.3
2015-07-04,22.6
2015-07-05,20.1
2015-07-06,17.3
2015-07-07,17.4
2015-07-08,15.6
2015-07-09,15.4
2015-07-10,13.4
2015-07-11,16.3
2015-07-12,16.6
2015-07-13,15.1
2015-07-14,16.5
2015-07-15,18
2015-07-16,17
2015-07-17,14
2015-07-18,15.7
2015-07-19,16.5
2015-07-20,16.1
2015-07-21,15.3
2015-07-22,16.5
2015-07-23,16.7
2015-07-24,16.7
2015-07-25,14.8
2015-07-26,16.7
2015-07-27,15.3
2015-07-28,15.5
2015-07-29,15.5
2015-07-30,14.9
2015-07-31,15.5
2015-08-01,16.8
2015-08-02,15.6
2015-08-03,16.4
2015-08-04,17.1
2015-08-05,18
2015-08-06,19.1
2015-08-07,19.7
2015-08-08,20.2
2015-08-09,19.3
2015-08-10,19.3
2015-08-11,18.3
2015-08-12,18.5
2015-08-13,16.6
2015-08-14,17.4
2015-08-15,17.6
2015-08-16,17.4
2015-08-17,16.6
2015-08-18,17.5
2015-08-19,17
2015-08-20,17.3
2015-08-21,17.3
2015-08-22,17.8
2015-08-23,17.7
2015-08-24,19.2
2015-08-25,20.7
2015-08-26,17.8
2015-08-27,18.3
2015-08-28,17.9
2015-08-29,17.1
2015-08-30,16.8
2015-08-31,17
2015-09-01,14.6
2015-09-02,14.5
2015-09-03,15.4
2015-09-04,13.2
2015-09-05,14
2015-09-06,11.5
2015-09-07,12
2015-09-08,11.9
2015-09-09,12
2015-09-10,13.7
2015-09-11,13.6
2015-09-12,15
2015-09-13,14.5
2015-09-14,15.6
2015-09-15,15
2015-09-16,14.8
2015-09-17,16.2
2015-09-18,15.3
2015-09-19,13.9
2015-09-20,12.2
2015-09-21,11.6
2015-09-22,11.9
2015-09-23,13.3
2015-09-24,13.7
2015-09-25,13.1
2015-09-26,11.1
2015-09-27,10.5
2015-09-28,11.1
2015-09-29,10.4
2015-09-30,12.3
2015-10-01,12.6
2015-10-02,14
2015-10-03,11.3
2015-10-04,11.4
2015-10-05,8.8
2015-10-06,6.7
2015-10-07,7.5
2015-10-08,7.6
2015-10-09,4.9
2015-10-10,4.8
2015-10-11,5.5
2015-10-12,6.3
2015-10-13,8.7
2015-10-14,8.3
2015-10-15,7.4
2015-10-16,6.4
2015-10-17,4.6
2015-10-18,6.5
2015-10-19,8.3
2015-10-20,8
2015-10-21,8.4
2015-10-22,10.6
2015-10-23,11.2
2015-10-24,8.2
2015-10-25,9.7
2015-10-26,6.5
2015-10-27,6.9
2015-10-28,4
2015-10-29,5.4
2015-10-30,6.3
2015-10-31,8.4
2015-11-01,9.1
2015-11-02,10
2015-11-03,7.9
2015-11-04,7.9
2015-11-05,7.6
2015-11-06,9.4
2015-11-07,9.9
2015-11-08,8.2
2015-11-09,7.6
2015-11-10,6.9
2015-11-11,6.1
2015-11-12,5.9
2015-11-13,6.1
2015-11-14,4.9
2015-11-15,5
2015-11-16,4.6
2015-11-17,5.7
2015-11-18,4.4
2015-11-19,3.2
2015-11-20,-0.5
2015-11-21,-2.6
2015-11-22,-3
2015-11-23,-3.4
2015-11-24,1.6
2015-11-25,3.6
2015-11-26,3
2015-11-27,6.9
2015-11-28,5.5
2015-11-29,3.4
2015-11-30,2.7
2015-12-01,1.7
2015-12-02,1.5
2015-12-03,5.8
2015-12-04,5.4
2015-12-05,8
2015-12-06,10.4
2015-12-07,6.2
2015-12-08,2.8
2015-12-09,7.2
2015-12-10,7.7
2015-12-11,4.7
2015-12-12,1.4
2015-12-13,-1.2
2015-12-14,-3.3
2015-12-15,-1.9
2015-12-16,-0.1
2015-12-17,2.4
2015-12-18,7.9
2015-12-19,8.9
2015-12-20,11.2
2015-12-21,8.7
2015-12-22,6
2015-12-23,7.7
2015-12-24,6.1
2015-12-25,6.4
2015-12-26,1.3
2015-12-27,-1.7
2015-12-28,-1
2015-12-29,-0.9
2015-12-30,1.7
2015-12-31,2.1
